frame_id,raw_red,raw_white,smooth_red,smooth_white,gk_yellow,gk_blue,total_detections
193,3,1,2,1,0,0,4
194,3,1,2,1,0,0,4
195,3,2,3,1,0,0,5
196,3,2,3,1,0,0,5
197,3,2,3,1,0,0,5
198,3,2,3,2,0,0,5
199,3,2,3,2,0,0,5
200,3,2,3,2,0,0,5
201,3,2,3,2,0,0,5
202,3,2,3,2,0,0,5
203,3,2,3,2,0,0,5
204,3,2,3,2,0,0,5
205,3,2,3,2,0,0,5
206,3,2,3,2,0,0,5
207,2,2,3,2,0,0,4
208,3,2,3,2,0,0,5
209,3,2,3,2,0,0,5
210,3,2,3,2,0,0,5
211,3,2,3,2,0,0,5
212,3,2,3,2,0,0,5
213,4,2,3,2,0,0,6
214,3,2,3,2,0,0,5
215,4,2,3,2,0,0,6
216,4,2,3,2,0,0,6
217,4,2,3,2,0,0,6
218,4,2,3,2,0,0,6
219,4,2,4,2,0,0,6
220,4,2,4,2,0,0,6
221,4,2,4,2,0,0,6
222,4,2,4,2,0,0,6
223,3,2,4,2,0,0,5
224,3,2,4,2,1,0,6
225,4,2,4,2,1,0,7
226,1,1,4,2,0,0,2
227,4,0,4,2,0,0,4
228,5,3,4,2,1,0,9
229,4,1,4,2,1,0,6
230,1,0,4,2,1,0,2
231,6,3,4,2,1,0,10
232,5,3,4,2,1,0,9
233,6,3,4,2,1,0,10
234,4,3,4,2,1,0,8
235,4,3,4,3,1,0,8
236,4,3,4,3,1,0,8
237,3,3,4,3,1,0,7
238,5,4,4,3,1,0,10
239,6,4,4,3,1,0,11
240,5,3,5,3,1,0,9
241,6,2,5,3,1,0,9
242,6,1,5,3,1,0,8
243,6,1,5,3,1,0,8
244,5,1,5,3,1,0,7
245,5,1,5,2,1,0,7
246,4,1,5,1,1,0,6
247,3,1,5,1,1,0,5
248,3,1,5,1,1,0,5
249,3,1,5,1,1,0,5
250,4,1,4,1,1,0,6
251,4,1,4,1,1,0,6
252,4,1,4,1,1,0,6
253,5,1,4,1,1,0,7
254,5,0,4,1,1,0,6
255,4,0,4,1,1,0,5
256,4,0,4,1,1,0,5
257,4,0,4,1,1,0,5
258,4,0,4,0,1,0,5
259,4,0,4,0,1,0,5
260,3,0,4,0,1,0,4
261,3,0,4,0,1,0,4
262,3,0,4,0,1,0,4
263,3,0,4,0,1,0,4
264,0,0,3,0,1,0,1
265,2,2,3,0,3,0,7
266,2,2,3,0,3,0,7
267,2,3,3,0,2,0,7
268,2,3,2,0,2,0,7
269,4,2,2,1,2,0,8
270,3,2,2,2,2,0,7
271,3,2,2,2,2,0,7
272,3,2,2,2,2,0,7
273,4,2,2,2,2,0,8
274,4,2,3,2,2,0,8
275,4,2,3,2,2,0,8
276,4,2,3,2,2,0,8
277,4,2,4,2,2,0,8
278,3,2,4,2,2,0,7
279,3,2,3,2,2,0,7
280,4,2,4,2,2,0,8
281,3,2,4,2,2,0,7
282,3,2,4,2,2,0,7
283,3,2,3,2,2,0,7
284,3,2,3,2,2,0,7
285,2,2,3,2,2,0,6
286,3,2,3,2,2,0,7
287,3,2,3,2,2,0,7
288,3,2,3,2,2,0,7
289,3,2,3,2,2,0,7
290,2,2,3,2,2,0,6
291,2,2,3,2,1,0,5
292,2,0,3,2,2,0,4
293,3,1,3,2,2,0,6
294,3,1,3,2,1,0,5
295,3,1,3,2,1,0,5
296,3,1,3,1,1,0,5
297,3,1,3,1,1,0,5
298,3,1,3,1,2,0,6
299,3,2,3,1,2,0,7
300,4,2,3,1,2,0,8
301,3,2,3,1,2,0,7
302,2,3,3,1,2,0,7
303,2,3,3,1,2,0,7
304,2,3,3,2,1,0,6
305,2,3,3,2,1,0,6
306,1,3,2,2,2,0,6
307,1,4,2,3,2,0,7
308,3,4,2,3,2,0,9
309,3,4,2,3,2,0,9
310,3,4,2,3,2,0,9
311,3,4,2,3,2,0,9
312,3,4,2,4,1,0,8
313,3,5,3,4,0,0,8
314,1,2,3,4,0,0,3
315,1,2,3,4,1,0,4
316,0,1,3,4,1,0,2
317,1,3,3,4,0,0,4
318,2,3,2,3,0,0,5
319,7,4,2,3,0,0,11
320,6,5,2,3,0,0,11
321,5,6,2,3,0,0,11
322,5,5,2,3,0,0,10
323,5,4,3,3,0,0,9
324,6,4,5,4,0,0,10
325,4,4,5,4,0,0,8
326,5,3,5,4,0,0,8
327,5,4,5,4,0,0,9
328,6,2,5,4,0,0,8
329,7,2,5,4,0,0,9
330,5,2,5,4,0,0,7
331,5,2,5,3,0,0,7
332,4,2,5,2,0,0,6
333,4,2,5,2,0,0,6
334,4,2,5,2,0,0,6
335,5,2,5,2,0,0,7
336,4,2,5,2,0,0,6
337,5,2,5,2,0,0,7
338,4,3,4,2,0,0,7
339,5,2,4,2,0,0,7
340,6,2,4,2,0,0,8
341,5,2,4,2,0,0,7
342,5,2,5,2,0,0,7
343,4,3,5,2,0,0,7
344,4,3,5,2,0,0,7
345,3,4,4,2,0,0,7
346,4,3,4,2,0,0,7
347,3,4,4,3,0,0,7
348,3,3,4,3,0,0,6
349,4,2,4,3,0,0,6
350,3,4,4,3,0,0,7
351,3,4,3,3,0,0,7
352,4,2,3,3,0,0,6
353,3,1,3,3,0,0,4
354,3,2,3,3,0,0,5
355,3,2,3,2,0,0,5
356,4,1,3,2,0,0,5
357,4,1,3,2,0,0,5
358,4,1,3,2,0,0,5
359,4,1,3,1,0,0,5
360,5,1,4,1,0,0,6
361,4,1,4,1,0,0,5
362,4,1,4,1,0,0,5
363,4,2,4,1,0,0,6
364,5,1,4,1,0,0,6
365,6,1,4,1,0,0,7
366,7,1,4,1,0,0,8
367,6,3,4,1,0,0,9
368,6,3,5,1,0,0,9
369,6,3,5,1,0,0,9
370,7,3,6,1,0,0,10
371,9,3,6,2,0,0,12
372,9,3,6,3,0,0,12
373,8,3,6,3,0,0,11
374,8,2,7,3,0,0,10
375,8,2,7,3,1,0,11
376,8,3,8,3,0,0,11
377,7,3,8,3,0,0,10
378,1,0,8,3,0,0,1
379,0,1,8,3,0,0,1
380,0,1,8,2,0,0,1
381,0,1,7,2,0,0,1
382,0,1,4,1,0,0,1
383,0,1,0,1,0,0,1
384,0,1,0,1,0,0,1
385,0,0,0,1,0,0,0
386,0,1,0,1,0,0,1
387,0,1,0,1,0,0,1
388,1,0,0,1,0,0,1
389,1,1,0,1,0,1,3
390,1,1,0,1,0,1,3
391,1,1,0,1,0,0,2
392,1,1,0,1,0,0,2
393,0,1,0,1,0,0,1
394,0,1,0,1,0,0,1
395,0,0,0,1,0,0,0
396,0,1,0,1,0,0,1
397,1,0,1,1,0,0,1
398,0,0,0,1,0,0,0
399,0,0,0,1,0,0,0
400,0,0,0,0,0,1,1
401,0,1,0,0,0,0,1
402,0,1,0,0,0,0,1
403,0,1,0,0,0,0,1
404,0,1,0,0,0,0,1
405,0,1,0,1,0,0,1
406,0,1,0,1,0,0,1
407,0,1,0,1,0,1,2
408,0,2,0,1,0,0,2
409,0,2,0,1,0,0,2
410,0,1,0,1,0,1,2
411,1,2,0,1,0,0,3
412,1,1,0,1,0,1,3
413,1,2,0,1,0,0,3
414,1,2,0,1,0,0,3
415,1,2,0,2,0,0,3
416,1,2,1,2,0,0,3
417,1,2,1,2,0,0,3
418,1,2,1,2,0,0,3
419,1,2,1,2,0,0,3
420,1,2,1,2,0,0,3
421,1,2,1,2,0,0,3
422,1,2,1,2,0,0,3
423,1,2,1,2,0,0,3
424,1,1,1,2,0,0,2
425,1,1,1,2,0,0,2
426,2,2,1,2,2,0,6
427,3,1,1,2,1,0,5
428,0,1,1,2,2,0,3
429,2,0,1,1,0,0,2
430,1,3,1,1,0,0,4
431,1,3,1,1,1,0,5
432,1,4,1,1,0,0,5
433,4,3,1,1,0,0,7
434,4,3,1,2,0,0,7
435,4,3,2,3,1,0,8
436,3,3,2,3,1,0,7
437,2,5,2,3,1,0,8
438,3,5,2,3,1,0,9
439,5,3,3,3,1,0,9
440,5,4,3,3,1,0,10
441,4,4,4,3,1,0,9
442,6,3,4,3,1,0,10
443,6,4,4,3,1,0,11
444,6,4,4,4,1,0,11
445,7,2,5,4,1,0,10
446,7,3,5,4,1,0,11
447,7,4,6,4,1,0,12
448,8,4,6,4,1,0,13
449,8,4,6,4,1,0,13
450,7,4,7,4,1,0,12
451,7,4,7,4,1,0,12
452,8,4,7,4,1,0,13
453,6,4,7,4,1,0,11
454,4,4,7,4,1,0,9
455,6,4,7,4,1,0,11
456,5,4,7,4,1,0,10
457,5,5,6,4,1,0,11
458,5,5,6,4,1,0,11
459,5,5,5,4,1,0,11
460,6,5,5,4,1,0,12
461,5,5,5,4,1,0,11
462,4,6,5,5,1,0,11
463,4,6,5,5,1,0,11
464,5,5,5,5,1,0,11
465,6,4,5,5,1,0,11
466,6,4,5,5,1,0,11
467,6,4,5,5,1,0,11
468,5,4,5,5,1,0,10
469,5,3,5,4,1,0,9
470,0,1,5,4,1,0,2
471,1,2,5,4,1,0,4
472,2,1,5,4,0,0,3
473,2,1,5,3,0,0,3
474,2,1,3,2,0,0,3
475,1,2,2,2,0,0,3
476,0,2,2,2,0,0,2
477,0,3,1,2,0,0,3
478,0,2,1,2,0,0,2
479,0,2,0,2,0,0,2
480,1,1,1,2,0,0,2
481,1,1,1,1,0,0,2
482,1,1,1,1,0,0,2
483,2,1,1,1,0,0,3
484,1,1,1,1,0,0,2
485,1,1,1,1,0,0,2
486,1,2,1,1,1,0,4
487,2,2,1,1,1,0,5
488,2,2,1,1,1,0,5
489,1,2,1,1,1,0,4
490,1,2,1,1,1,0,4
491,2,3,1,2,0,0,5
492,2,3,1,2,0,0,5
493,2,2,1,2,0,0,4
494,2,3,2,2,0,0,5
495,2,3,2,2,0,0,5
496,1,3,2,2,0,0,4
497,0,3,2,3,0,0,3
498,0,3,1,3,0,0,3
499,0,2,1,3,1,0,3
500,0,2,1,3,1,0,3
501,1,1,1,3,1,0,3
502,2,1,1,2,1,0,4
503,3,1,1,2,0,0,4
504,1,1,1,2,0,0,2
505,1,3,1,2,0,0,4
506,1,3,1,2,0,0,4
507,1,3,1,2,0,0,4
508,0,2,1,2,1,0,3
509,1,3,1,2,1,0,5
510,2,1,1,1,1,0,4
511,1,2,1,2,1,0,4
512,0,1,1,2,1,0,2
513,1,1,1,2,0,0,2
514,0,1,1,2,2,0,3
515,2,1,1,1,0,0,3
516,0,1,1,1,0,0,1
517,0,1,0,1,0,0,1
518,0,2,0,1,0,0,2
519,0,0,0,1,0,0,0
520,3,1,0,1,1,0,5
521,0,1,0,1,0,0,1
522,1,1,0,1,0,0,2
523,1,3,0,1,0,0,4
524,0,3,0,1,0,0,3
525,1,1,0,1,0,0,2
526,1,2,0,1,0,0,3
527,0,1,0,1,0,0,1
528,2,2,1,1,1,0,5
529,1,2,1,1,0,1,4
530,0,2,1,2,0,0,2
531,1,1,1,2,0,0,2
532,2,2,1,2,0,1,5
533,2,3,1,2,0,1,6
534,3,2,1,2,0,1,6
535,1,4,1,2,0,1,6
536,1,2,1,2,0,1,4
537,2,1,1,2,1,1,5
538,2,1,1,2,1,1,5
539,2,2,2,2,1,1,6
540,2,1,2,2,1,1,5
541,2,3,2,2,0,1,6
542,2,3,2,2,0,1,6
543,2,3,2,2,0,1,6
544,2,3,2,2,0,1,6
545,2,3,2,2,0,1,6
546,2,3,2,3,0,1,6
547,1,3,2,3,0,0,4
548,1,3,2,3,0,1,5
549,1,4,2,3,0,1,6
550,3,0,2,3,1,0,4
551,2,3,2,3,0,0,5
552,2,3,2,3,0,0,5
553,2,3,2,3,0,0,5
554,2,3,2,3,0,0,5
555,2,3,2,3,0,0,5
556,2,2,2,3,0,0,4
557,3,2,2,3,0,0,5
558,3,3,2,3,0,0,6
559,3,3,2,3,0,0,6
560,3,3,2,3,0,0,6
561,3,3,2,3,0,0,6
562,3,3,3,3,0,0,6
563,3,3,3,3,0,0,6
564,1,1,3,3,0,0,2
565,2,2,3,3,0,0,4
566,3,2,3,3,0,0,5
567,3,3,3,3,0,0,6
568,3,4,3,3,0,0,7
569,2,4,3,3,0,0,6
570,2,4,3,3,0,0,6
571,2,5,2,3,0,0,7
572,3,4,2,3,0,0,7
573,3,4,2,4,0,0,7
574,3,3,3,4,0,0,6
575,3,2,3,4,0,0,5
576,1,3,3,4,1,0,5
577,1,4,2,4,2,0,7
578,1,4,2,4,2,0,7
579,2,4,2,4,2,0,8
580,0,3,2,4,0,0,3
581,0,1,1,3,0,0,1
582,0,2,1,3,0,0,2
583,0,1,1,3,0,0,1
584,0,1,0,2,0,0,1
585,1,1,0,2,0,0,2
586,3,1,0,1,0,0,4
587,3,3,0,1,1,0,7
588,1,1,0,1,0,0,2
589,5,2,0,1,1,0,8
590,4,2,1,1,1,0,7
591,5,3,2,1,1,0,9
592,5,2,3,1,1,0,8
593,6,2,3,2,1,0,9
594,6,1,4,2,1,0,8
595,6,2,5,2,1,0,9
596,6,1,5,2,1,0,8
597,6,2,5,2,1,0,9
598,6,1,6,2,1,0,8
599,6,2,6,2,1,0,9
